repo,web_property,items,issues,prs,open,bug,feature,deps,chore,ci,testing,docs,security,uncategorised,platform-cos,platform-tls,platform-terraform,platform-airgap,platform-backup,platform-arm64
canonical/infra-backup-operator,0,30,1,29,13,0,7,18,0,14,2,1,0,3,0,0,0,0,4,0
canonical/ingress-configurator-operator,0,185,17,168,10,24,57,69,64,13,13,16,1,32,0,2,3,3,0,0
canonical/intel-device-plugins-k8s-operator,0,11,0,11,0,0,5,3,0,1,4,0,0,1,0,0,0,0,0,0
canonical/intro-to-charming-mc,0,9,3,6,3,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0
canonical/irc-bridge-operator,0,83,1,82,2,7,20,36,37,9,4,10,1,16,0,0,1,1,0,0
canonical/istio-beacon-k8s-operator,0,198,74,124,35,50,64,19,23,11,16,8,3,35,0,0,2,2,0,0
canonical/istio-ingress-k8s-operator,0,187,63,124,29,42,70,21,47,8,11,1,2,19,0,4,5,6,0,0
canonical/istio-k8s-operator,0,143,48,95,28,34,55,17,24,8,5,6,2,21,2,3,1,2,0,0
canonical/istio-operators,0,701,154,547,43,153,195,158,134,100,64,22,2,106,5,28,19,2,1,0
canonical/jenkins-agent-k8s-operator,0,98,2,96,2,27,26,28,18,12,10,16,2,11,0,0,1,0,0,0
canonical/jenkins-agent-operator,0,177,12,165,15,35,22,94,75,12,8,19,4,23,0,0,0,1,0,0
canonical/jenkins-k8s-operator,0,420,17,403,14,83,74,145,132,23,64,37,6,56,5,1,6,5,1,2
canonical/jimm-k8s-operator,0,174,2,172,15,8,29,51,80,17,7,0,16,28,1,0,10,1,0,0
canonical/johnny,0,2,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
canonical/jp.ubuntu.com,1,571,108,463,27,47,78,193,27,11,8,4,10,245,2,0,0,0,0,0
canonical/jubilant,0,376,130,246,8,53,139,56,71,49,68,69,6,42,0,0,0,0,0,0
canonical/juju-introspect-operator,0,86,0,86,9,1,2,37,69,6,12,0,0,3,0,0,0,0,0,0
canonical/jwt-integrator,0,25,0,25,1,4,3,13,8,1,0,2,3,0,0,0,0,0,0,0
canonical/k6-k8s-operator,0,48,10,38,4,6,21,7,15,5,8,0,0,3,1,0,5,0,0,0
canonical/kafka-benchmark-operator,0,42,6,36,17,8,16,15,0,2,3,1,0,6,2,4,0,0,0,0
canonical/kafka-broker-rack-awareness-operator,0,17,1,16,3,4,3,7,2,4,0,0,0,2,0,0,0,0,0,0
canonical/kafka-connect-k8s-operator,0,44,0,44,5,8,9,17,12,5,6,1,0,3,0,4,1,0,1,0
canonical/kafka-connect-operator,0,78,7,71,7,11,25,17,7,6,9,3,0,8,4,9,1,0,0,0
canonical/kafka-k8s-operator,0,281,20,261,19,50,70,15,27,19,31,57,7,61,5,18,1,1,2,0
canonical/kafka-operator,0,528,56,472,35,104,145,35,46,43,53,131,10,101,6,39,3,0,2,0
canonical/kafka-test-app,0,29,3,26,0,3,4,2,3,6,3,1,0,11,1,2,0,0,0,0
canonical/kafka-ui-k8s-operator,0,22,0,22,9,3,6,10,4,2,1,1,0,0,0,2,1,0,0,0
canonical/kafka-ui-operator,0,29,1,28,10,2,6,14,4,4,2,1,0,2,0,2,1,0,0,0
canonical/kafkacl,0,11,0,11,8,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0
canonical/karapace-k8s-operator,0,35,3,32,9,7,6,8,2,4,4,2,0,7,1,4,1,0,0,0
canonical/karapace-operator,0,67,8,59,15,15,11,24,2,4,3,3,0,11,3,8,1,0,0,0
canonical/keystone-k8s-auth-operator,0,39,0,39,8,3,1,28,0,3,2,1,2,5,0,0,0,0,0,0
canonical/kfp-operators,0,975,268,707,54,258,273,175,207,150,146,10,2,120,13,3,16,2,1,0
canonical/kiali-k8s-operator,0,94,36,58,16,3,48,23,15,9,5,5,0,13,15,2,1,0,0,2
canonical/kratos-external-idp-integrator,0,367,14,353,6,20,27,22,270,35,3,5,2,30,0,0,6,0,0,1
canonical/kratos-operator,0,716,63,653,19,92,93,121,383,74,27,10,5,105,2,0,6,0,1,1
canonical/kubeflow-dashboard-operator,0,338,65,273,14,67,94,97,98,48,25,6,0,36,5,4,14,0,0,0
canonical/kubeflow-profiles-operator,0,319,63,256,15,70,73,90,95,54,25,3,3,43,0,0,12,0,1,0
canonical/kubeflow-roles-operator,0,156,21,135,3,15,42,61,62,38,8,7,0,11,0,0,9,0,0,0
canonical/kubeflow-tensorboards-operator,0,259,38,221,6,33,73,80,84,45,18,3,0,35,1,2,10,2,0,0
canonical/kubeflow-trainer-operator,0,41,2,39,8,2,4,6,36,4,2,0,0,0,0,0,1,0,0,0
canonical/kubeflow-volumes-operator,0,259,34,225,3,42,59,93,79,53,26,3,0,33,1,2,10,0,0,0
canonical/kyuubi-k8s-operator,0,287,22,265,10,41,52,80,5,26,28,6,9,85,5,6,0,0,0,2
canonical/landscape-client-charm,0,29,9,20,7,6,9,2,0,4,1,0,0,10,0,0,1,4,0,0
canonical/landscape-debarchive-operator,0,17,0,17,5,0,11,6,2,4,1,0,0,0,0,0,0,0,0,0
canonical/landscape-server-operator,0,170,8,162,10,54,90,17,11,20,17,5,0,9,2,9,22,0,1,0
canonical/language-tool-k8s-charm,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/launchpad-retracer-operator,0,24,0,24,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0
canonical/layer-basic,0,232,97,135,30,58,31,42,0,10,7,7,1,108,0,0,0,5,0,0
canonical/layer-beats-base,0,58,9,49,0,5,11,3,1,2,3,2,0,34,0,0,0,0,0,0
canonical/layer-filebeat,0,129,44,85,13,31,29,5,1,4,7,3,0,59,0,3,0,0,0,1
canonical/ldap-integrator,0,198,13,185,4,9,23,10,153,19,8,2,1,6,0,0,5,0,0,1
